"Process:"	"Lab-08a.exe"
"PID:"	"2168"

"Type"	"Size"	"Committed"	"Private"	"Total WS"	"Private WS"	"Shareable WS"	"Shared WS"	"Locked WS"	"Blocks"	"Largest"	
"Total"	"4 245 412"	"11 600"	"568"	"4 580"	"464"	"4 116"	"4 116"	""	"78"	""
"Free"	"137 434 708 160"	""	""	""	""	""	""	""	"11"	"135 488 239 936"
"Heap"	"1 480"	"168"	"104"	"108"	"104"	"4"	"4"	""	"5"	"1 024"
"Image"	"9 848"	"9 824"	"240"	"3 980"	"160"	"3 820"	"3 820"	""	"42"	"4 040"
"Managed Heap"	""	""	""	""	""	""	""	""	""	""
"Mapped File"	"1 140"	"1 140"	""	"80"	""	"80"	"80"	""	"7"	"844"
"Page Table"	"164"	"164"	"164"	"164"	"164"	""	""	""	""	""
"Private Data"	"4 229 268"	"32"	"32"	"28"	"20"	"8"	"8"	""	"9"	"4 194 432"
"Shareable"	"1 252"	"244"	""	"204"	""	"204"	"204"	""	"12"	"1 024"
"Stack"	"1 024"	"28"	"28"	"16"	"16"	""	""	""	"3"	"1 024"
"Unusable"	"1 236"	""	""	""	""	""	""	""	""	"60"

"Address"	"Type"	"Size"	"Committed"	"Private"	"Total WS"	"Private WS"	"Shareable WS"	"Shared WS"	"Locked WS"	"Blocks"	"Protection"	"Details"	
"  00007FF8408FF000"	"Image (ASLR)"	"4"	"4"	""	"4"	""	"4"	"4"	""	""	"Execute/Read"	""
"  00007FF840900000"	"Image (ASLR)"	"8"	""	""	""	""	""	""	""	""	"Reserved"	""
"00007FF841FE0000"	"Image (ASLR)"	"816"	"808"	"8"	"228"	"28"	"200"	"200"	""	"7"	"Execute/Read"	"C:\Windows\System32\kernel32.dll"
"  00007FF841FE0000"	"Image (ASLR)"	"4"	"4"	""	"4"	""	"4"	"4"	""	""	"Read"	"Header"
"  00007FF841FE1000"	"Image (ASLR)"	"532"	"532"	""	"56"	""	"56"	"56"	""	""	"Execute/Read"	".text"
"  00007FF842066000"	"Image (ASLR)"	"4"	"4"	""	"4"	""	"4"	"4"	""	""	"Execute/Read"	"fothk"
"  00007FF842067000"	"Image (ASLR)"	"224"	"224"	"16"	"148"	"16"	"132"	"132"	""	""	"Read"	".rdata"
"  00007FF84209F000"	"Image (ASLR)"	"8"	"8"	"8"	"8"	"8"	""	""	""	""	"Read/Write"	".data"
"  00007FF8420A1000"	"Image (ASLR)"	"20"	"20"	""	""	""	""	""	""	""	"Read"	".pdata"
"  00007FF8420A6000"	"Image (ASLR)"	"4"	"4"	"4"	"4"	"4"	""	""	""	""	"Read"	".didat"
"  00007FF8420A7000"	"Image (ASLR)"	"4"	"4"	""	""	""	""	""	""	""	"Read"	".rsrc"
"  00007FF8420A8000"	"Image (ASLR)"	"4"	"4"	""	""	""	""	""	""	""	"Read"	".reloc"
"  00007FF8420A9000"	"Image (ASLR)"	"4"	"4"	""	"4"	""	"4"	"4"	""	""	"Execute/Read"	""
"  00007FF8420AA000"	"Image (ASLR)"	"8"	""	""	""	""	""	""	""	""	"Reserved"	""
"00007FF842E60000"	"Image (ASLR)"	"2 472"	"2 464"	"36"	"2 460"	"52"	"2 408"	"2 408"	""	"7"	"Execute/Read"	"C:\Windows\System32\ntdll.dll"
"  00007FF842E60000"	"Image (ASLR)"	"4"	"4"	""	"4"	""	"4"	"4"	""	""	"Read"	"Header"
"  00007FF842E61000"	"Image (ASLR)"	"1 452"	"1 452"	""	"1 452"	""	"1 452"	"1 452"	""	""	"Execute/Read"	".text"
"  00007FF842FCC000"	"Image (ASLR)"	"4"	"4"	""	"4"	""	"4"	"4"	""	""	"Execute/Read"	"SCPCFG"
"  00007FF842FCD000"	"Image (ASLR)"	"4"	"4"	""	"4"	""	"4"	"4"	""	""	"Execute/Read"	"SCPCFGFP"
"  00007FF842FCE000"	"Image (ASLR)"	"4"	"4"	""	"4"	""	"4"	"4"	""	""	"Execute/Read"	"SCPCFGNP"
"  00007FF842FCF000"	"Image (ASLR)"	"4"	"4"	""	"4"	""	"4"	"4"	""	""	"Execute/Read"	"SCPCFGES"
"  00007FF842FD0000"	"Image (ASLR)"	"4"	"4"	""	"4"	""	"4"	"4"	""	""	"Execute/Read"	"RT"
"  00007FF842FD1000"	"Image (ASLR)"	"4"	"4"	""	"4"	""	"4"	"4"	""	""	"Execute/Read"	"PAGE"
"  00007FF842FD2000"	"Image (ASLR)"	"4"	"4"	""	"4"	""	"4"	"4"	""	""	"Execute/Read"	"fothk"
"  00007FF842FD3000"	"Image (ASLR)"	"356"	"356"	""	"356"	""	"356"	"356"	""	""	"Read"	".rdata"
"  00007FF84302C000"	"Image (ASLR)"	"36"	"36"	"36"	"36"	"36"	""	""	""	""	"Read/Write"	".data"
"  00007FF843035000"	"Image (ASLR)"	"68"	"68"	""	"68"	""	"68"	"68"	""	""	"Read"	".pdata"
